港·澳·台,#genre#
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn$1920x1080
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$1920x1080
星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8
凤凰中文,http://ayolee.com:5253/udp/239.93.0.162:2192$1920x1080
凤凰中文,http://171.213.195.171:5555/rtp/239.93.1.9:2192
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://171.213.137.173:8088/rtp/239.93.1.9:2192
凤凰中文,http://xeace.cn:8888/rtp/239.93.1.9:2192
凤凰中文,http://183.155.74.32:58888/rtp/233.50.200.191:5140
凤凰中文,http://118.114.98.159:4022/rtp/239.93.1.9:2192
凤凰中文,http://wouu.net:9977/rtp/239.93.1.9:2192
凤凰中文,http://171.213.195.115:8096/rtp/239.93.1.9:2192
凤凰中文,http://183.141.186.244:9999/rtp/233.50.200.191:5140
凤凰中文,http://60.189.61.9:9999/rtp/233.50.200.191:5140
凤凰中文,http://222.212.166.187:4022/rtp/239.93.1.9:2192
凤凰中文,http://115.221.90.169:8888/rtp/233.50.200.191:5140
凤凰中文,http://183.159.157.94:8686/rtp/233.50.200.191:5140
凤凰中文,http://183.158.6.162:4022/rtp/233.50.200.191:5140
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$1920x1080
凤凰资讯,http://171.213.195.171:5555/rtp/239.93.1.4:2191
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰资讯,http://171.213.137.173:8088/rtp/239.93.1.4:2191
凤凰资讯,http://xeace.cn:8888/rtp/239.93.1.4:2191
凤凰资讯,http://183.155.74.32:58888/rtp/233.50.200.192:5140
凤凰资讯,http://118.114.98.159:4022/rtp/239.93.1.4:2191
凤凰资讯,http://wouu.net:9977/rtp/239.93.1.4:2191
凤凰资讯,http://171.213.195.115:8096/rtp/239.93.1.4:2191
凤凰资讯,http://183.141.186.244:9999/rtp/233.50.200.192:5140
凤凰资讯,http://60.189.61.9:9999/rtp/233.50.200.192:5140
凤凰资讯,http://222.212.166.187:4022/rtp/239.93.1.4:2191
凤凰资讯,http://115.221.90.169:8888/rtp/233.50.200.192:5140
凤凰资讯,http://183.159.157.94:8686/rtp/233.50.200.192:5140
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk$1280x720
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
TVBS新闻,http://4gtv.mumi.rip:9877/291/4gtv-4gtv072/index.m3u8
TVBS欢乐,http://4gtv.mumi.rip:9877/184/4gtv-4gtv068/index.m3u8
